date,open,high,low,close,volume,amount,outstanding_share,turnover
2026-01-26,11631.8,11757.53,11498.26,11644.73,8016606.0,10751225525.0,1252270215.0,0.006401658287464739
2026-01-27,11670.59,11746.25,11610.02,11653.49,4841596.0,6514513216.0,1252270215.0,0.0038662550158952715
2026-01-28,11653.75,11685.6,11471.27,11485.85,7621801.0,10135019524.0,1252270215.0,0.006086386874577225
2026-01-29,11583.99,12538.48,11532.45,12475.31,18953440.0,26305591086.0,1252270215.0,0.015135263757750558
2026-01-30,12451.7,12451.7,12156.68,12156.68,9447974.0,13366329414.0,1252270215.0,0.007544676769302542
2026-02-02,12364.93,12656.31,12248.83,12382.29,8572427.0,12312646443.0,1252270215.0,0.006845508978267921
2026-02-03,12538.48,12814.5,12521.38,12798.1,8632066.0,12628439703.0,1252270215.0,0.006893133683611568
2026-02-04,12885.56,13304.41,12790.11,13232.65,10912293.0,16444345980.0,1252270215.0,0.008714008262186448
2026-02-05,13189.26,13579.73,13145.88,13492.96,9162274.0,14183456476.0,1252270215.0,0.007316531121040837
2026-02-06,13492.96,13605.76,13066.74,13145.96,7896538.0,12019878669.0,1252270215.0,0.006305778022517289
2026-02-09,13171.91,13387.79,13132.77,13232.3,5116846.0,7809067705.0,1252270215.0,0.004086055819829589
2026-02-10,13232.39,13232.39,12985.35,13057.37,3957596.0,5953269321.0,1252270215.0,0.0031603370842769743
2026-02-11,13057.37,13137.2,12981.01,13053.29,3092846.0,4648360030.0,1252270215.0,0.002469791234314393
2026-02-12,13017.45,13040.19,12784.56,12899.44,4624582.0,6874370113.0,1252270215.0,0.0036929585520805506
2026-02-13,12899.44,13083.4,12760.44,12888.16,4167901.0,6216379203.0,1252270215.0,0.0033282760781785424
2026-02-24,13197.94,13227.44,12699.87,12727.64,4191253.0,6198840572.0,1252270215.0,0.0033469238106888935
2026-02-25,12755.4,13099.54,12737.01,12943.35,3688067.0,5490316149.0,1252270215.0,0.0029451047831557664
2026-02-26,12899.44,12924.52,12709.15,12722.52,3295801.0,4855471430.0,1252270215.0,0.0026318608879474146
2026-02-27,12729.29,12809.29,12625.42,12625.42,3216016.0,4697692477.0,1252270215.0,0.002568148600420078
